,ici,,,,,,,
kernel,epsilon-SVR,,,,nu-SVR,,,
,single,,reverse,,single,,reverse,
features,MSR,SCC,MSR,SCC,MSR,SCC,MSR,SCC
BP,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
BQ,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
BR,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
BS,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
BT,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
BU,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
BV,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
BW,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
BX,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
BY,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
BZ,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
CA,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
CB,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
CC,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
CD,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
CE,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
CF,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
CG,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
CH,0.284211,1.70633e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
CI,0.284211,5.21934e-16,0.282573,4.07863e-05,0.304659,0.0218827,0.286336,2.68052e-05
CJ,0.284211,1.70633e-16,0.282398,0.000403813,0.304679,nan,0.286056,0.000627196
CK,0.284162,0.00262834,0.282535,0.00021814,0.304559,0.00828182,0.286586,2.40996e-06
CL,0.284196,0.00177106,0.282536,0.000216376,0.304611,0.0298837,0.286566,1.51926e-06
CM,0.28424,0.000114465,0.282461,0.00028666,0.304547,0.00359655,0.286052,0.000211497
CN,0.28424,0.00260126,0.282461,0.00028666,0.304653,0.00432912,0.286052,0.000211497
CO,0.284135,0.00537217,0.282179,0.000538933,0.304495,0.0138213,0.286425,0.000830432
CP,0.28418,0.000147051,0.282178,0.000546373,0.304601,0.00466723,0.286423,0.000838386
CQ,0.284214,0.00754563,0.28219,0.000517044,0.304647,0.00155819,0.286408,0.000827685
CR,0.284158,0.0353891,0.282179,0.000538933,0.304643,0.0487349,0.286425,0.000830432
CS,0.284154,0.0565272,0.282178,0.000546372,0.304712,0.0289995,0.286423,0.000838802
CT,0.284222,0.00284029,0.282182,0.000542879,0.304602,2.46351e-06,0.286414,0.00086407
CU,0.284184,0.00441765,0.282328,0.000247203,0.304662,0.00217062,0.28696,7.70692e-06
CV,0.284205,0.000515637,0.282328,0.000247203,0.304588,0.00656636,0.28696,7.70692e-06
CW,0.284215,0.00147177,0.282184,0.000544282,0.304651,0.0152041,0.286439,0.000809818
CX,0.284218,0.000428997,0.28219,0.000521966,0.304659,0.000359745,0.286436,0.000802576
CY,0.284262,0.0051356,0.282676,0.00010177,0.304671,0.00303223,0.286187,2.63516e-06
CZ,0.284226,0.00821777,0.282667,0.000104441,0.30467,0.00114534,0.286195,2.4664e-06
DA,0.124036,0.572273,0.282547,0.000217877,0.120567,0.578965,0.286564,2.4487e-06
DB,0.284207,0.00202072,0.28219,0.000537251,0.304668,0.000634448,0.286396,0.000849354
