,factory,,,,,,,,,,,,,,,,,,
kernel,linear,,,,,,rbf,,,,,,kernel,rbf,,,,,
c,c=0.5,,c=1,,c=5,,c=0.5,,c=1,,c=5,,c,c=0.5,,c=1,,c=5,
features,single,reverse,single,reverse,single,reverse,single,reverse,single,reverse,single,reverse,features,single,reverse,single,reverse,single,reverse
EY,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,EY,92.383,92.383,92.383,92.383,92.383,92.383
EZ,67.0294,92.383,67.0294,92.383,67.0294,92.383,94.124,92.383,94.124,92.383,94.124,92.383,EZ,94.124,92.383,94.124,92.383,94.124,92.383
FA,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,FA,92.383,92.383,92.383,92.383,92.383,92.383
FB,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,FB,92.383,92.383,92.383,92.383,92.383,92.383
FC,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,FC,92.383,92.383,92.383,92.383,92.383,92.383
FD,92.2742,92.2742,92.2742,92.2742,92.2742,92.2742,93.9064,92.383,93.9064,92.383,93.9064,92.383,FD,93.9064,92.383,93.9064,92.383,93.9064,92.383
FE,92.2742,92.2742,92.2742,92.2742,92.2742,92.2742,93.9064,92.383,93.9064,92.383,93.9064,92.383,FE,93.9064,92.383,93.9064,92.383,93.9064,92.383
FF,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,FF,92.383,92.383,92.383,92.383,92.383,92.383
FG,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,FG,92.383,92.383,92.383,92.383,92.383,92.383
FH,92.383,91.0773,92.383,91.0773,92.383,91.0773,92.383,92.383,92.0566,92.383,93.9064,92.383,FH,92.383,92.383,92.0566,92.383,93.9064,92.383
FI,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,FI,92.383,92.383,92.383,92.383,92.383,92.383
FJ,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,FJ,92.383,92.383,92.383,92.383,92.383,92.383
FK,92.383,91.0773,92.383,91.0773,92.383,91.0773,92.383,92.383,92.383,92.383,92.383,92.383,FK,92.383,92.383,92.383,92.383,92.383,92.383
FL,93.9064,92.2742,93.9064,92.2742,93.9064,92.2742,93.9064,92.383,93.9064,92.383,93.9064,92.383,FL,93.9064,92.383,93.9064,92.383,93.9064,92.383
FM,92.383,92.2742,92.383,92.2742,92.383,92.2742,93.9064,92.383,93.9064,92.383,93.9064,92.383,FM,93.9064,92.383,93.9064,92.383,93.9064,92.383
FN,92.383,91.0773,92.383,91.0773,92.383,91.0773,93.9064,92.383,93.9064,92.383,93.9064,92.383,FN,93.9064,92.383,93.9064,92.383,93.9064,92.383
FO,92.383,91.0773,92.383,91.0773,92.383,91.0773,92.383,92.383,92.383,92.383,92.383,92.383,FO,92.383,92.383,92.383,92.383,92.383,92.383
FP,93.9064,92.2742,93.9064,92.2742,93.9064,92.2742,93.9064,92.383,93.9064,92.383,93.9064,92.383,FP,93.9064,92.383,93.9064,92.383,93.9064,92.383
FQ,92.383,92.2742,92.383,92.2742,92.383,92.2742,93.9064,92.383,93.9064,92.383,93.9064,92.383,FQ,93.9064,92.383,93.9064,92.383,93.9064,92.383
FR,92.383,91.0773,92.383,91.0773,92.383,91.0773,93.9064,92.383,93.9064,92.383,93.9064,92.383,FR,93.9064,92.383,93.9064,92.383,93.9064,92.383
FS,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,FS,92.383,92.383,92.383,92.383,92.383,92.383
FT,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,FT,92.383,92.383,92.383,92.383,92.383,92.383
FU,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,FU,92.383,92.383,92.383,92.383,92.383,92.383
FV,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,FV,92.383,92.383,92.383,92.383,92.383,92.383
FW,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,FW,92.383,92.383,92.383,92.383,92.383,92.383
FX,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,FX,92.383,92.383,92.383,92.383,92.383,92.383
FY,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,FY,92.383,92.383,92.383,92.383,92.383,92.383
FZ,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,FZ,92.383,92.383,92.383,92.383,92.383,92.383
GA,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,GA,92.383,92.383,92.383,92.383,92.383,92.383
GB,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,GB,92.383,92.383,92.383,92.383,92.383,92.383
GC,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,GC,92.383,92.383,92.383,92.383,92.383,92.383
GD,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,GD,92.383,92.383,92.383,92.383,92.383,92.383
GE,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,GE,92.383,92.383,92.383,92.383,92.383,92.383
GF,57.4538,85.3101,57.4538,92.2742,44.2873,92.2742,90.2067,92.383,81.0664,92.383,81.0664,92.383,GF,90.2067,92.383,81.0664,92.383,81.0664,92.383
GG,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,GG,92.383,92.383,92.383,92.383,92.383,92.383
GH,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,GH,92.383,92.383,92.383,92.383,92.383,92.383
GI,92.383,91.0773,92.383,91.0773,92.383,91.0773,92.383,92.383,92.383,92.383,92.383,92.383,GI,92.383,92.383,92.383,92.383,92.383,92.383
GJ,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,GJ,92.383,92.383,92.383,92.383,92.383,92.383
GK,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,GK,92.383,92.383,92.383,92.383,92.383,92.383
GL,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,GL,92.383,92.383,92.383,92.383,92.383,92.383
GM,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,GM,92.383,92.383,92.383,92.383,92.383,92.383
GN,92.383,91.0773,92.383,91.0773,92.383,91.0773,92.383,92.383,92.383,92.383,92.383,92.383,GN,92.383,92.383,92.383,92.383,92.383,92.383
GO,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,GO,92.383,92.383,92.383,92.383,92.383,92.383
GP,93.6888,92.2742,93.6888,92.2742,93.6888,92.2742,92.9271,92.383,92.9271,92.383,92.9271,92.383,GP,92.9271,92.383,92.9271,92.383,92.9271,92.383
GQ,92.7095,92.2742,92.7095,92.2742,82.5898,92.2742,92.383,92.383,92.0566,92.383,92.1654,92.383,GQ,92.383,92.383,92.0566,92.383,92.1654,92.383
GR,92.8183,92.2742,92.8183,92.2742,92.8183,92.2742,92.7095,92.383,93.1447,92.383,93.0359,92.383,GR,92.7095,92.383,93.1447,92.383,93.0359,92.383
GS,92.383,92.2742,92.383,92.2742,92.383,92.2742,93.58,92.383,93.4712,92.383,93.4712,92.383,GS,93.58,92.383,93.4712,92.383,93.4712,92.383
GT,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.2742,92.383,92.2742,92.383,GT,92.383,92.383,92.2742,92.383,92.2742,92.383
GU,94.3417,92.2742,93.9064,92.2742,76.605,92.2742,93.6888,92.383,94.0152,92.383,94.0152,92.383,GU,93.6888,92.383,94.0152,92.383,94.0152,92.383
GV,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,GV,92.383,92.383,92.383,92.383,92.383,92.383
GW,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,GW,92.383,92.383,92.383,92.383,92.383,92.383
GX,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,GX,92.383,92.383,92.383,92.383,92.383,92.383
GY,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,GY,92.383,92.383,92.383,92.383,92.383,92.383
GZ,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,GZ,92.383,92.383,92.383,92.383,92.383,92.383
HA,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,HA,92.383,92.383,92.383,92.383,92.383,92.383
HB,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,HB,92.383,92.383,92.383,92.383,92.383,92.383
HC,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,HC,92.383,92.383,92.383,92.383,92.383,92.383
HD,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,HD,92.383,92.383,92.383,92.383,92.383,92.383
HE,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,HE,92.383,92.383,92.383,92.383,92.383,92.383
HF,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,HF,92.383,92.383,92.383,92.383,92.383,92.383
HG,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,HG,92.383,92.383,92.383,92.383,92.383,92.383
