,factory,,,,,,,,,,,,,,,,,,
kernel,linear,,,,,,rbf,,,,,,kernel,rbf,,,,,
c,c=0.5,,c=1,,c=5,,c=0.5,,c=1,,c=5,,c,c=0.5,,c=1,,c=5,
features,single,reverse,single,reverse,single,reverse,single,reverse,single,reverse,single,reverse,features,single,reverse,single,reverse,single,reverse
AL,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,AL,92.383,92.383,92.383,92.383,92.383,92.383
AM,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,AM,92.383,92.383,92.383,92.383,92.383,92.383
AN,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,AN,92.383,92.383,92.383,92.383,92.383,92.383
AO,12.1872,86.5071,14.6899,86.5071,13.3841,86.5071,93.6888,92.383,93.6888,92.383,93.6888,92.383,AO,93.6888,92.383,93.6888,92.383,93.6888,92.383
AP,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,91.2949,92.383,90.8596,92.383,AP,92.383,92.383,91.2949,92.383,90.8596,92.383
AQ,93.6888,91.0773,93.6888,91.0773,93.6888,91.0773,93.6888,92.383,93.6888,92.383,93.6888,92.383,AQ,93.6888,92.383,93.6888,92.383,93.6888,92.383
AR,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,AR,92.383,92.383,92.383,92.383,92.383,92.383
AS,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,AS,92.383,92.383,92.383,92.383,92.383,92.383
AT,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,AT,92.383,92.383,92.383,92.383,92.383,92.383
AU,57.2361,92.2742,57.2361,92.2742,43.9608,92.383,90.2067,92.383,80.8487,92.383,80.8487,92.383,AU,90.2067,92.383,80.8487,92.383,80.8487,92.383
AV,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,AV,92.383,92.383,92.383,92.383,92.383,92.383
AW,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,AW,92.383,92.383,92.383,92.383,92.383,92.383
AX,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,AX,92.383,92.383,92.383,92.383,92.383,92.383
AY,27.4211,88.5745,27.4211,88.5745,36.3439,88.5745,93.9064,92.383,93.9064,92.383,93.9064,92.383,AY,93.9064,92.383,93.9064,92.383,93.9064,92.383
AZ,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,91.0773,92.383,90.642,92.383,AZ,92.383,92.383,91.0773,92.383,90.642,92.383
